year,quarter,county,sales
2008,1,Adams,231609000
2008,1,Arapahoe,550378000
2008,1,Boulder/Broomfield,176771000
2008,1,Denver,200103000
2008,1,Douglas,93259000
2008,1,El Paso,325737000
2008,1,Fremont,9911000
2008,1,Garfield,55701000
2008,1,Jefferson,277611000
2008,1,La Plata,19558000
2008,1,Larimer,141852000
2008,1,Mesa,98293000
2008,1,Pueblo,68268000
2008,1,Weld,158501000
2008,2,Adams,241925000
2008,2,Arapahoe,585224000
2008,2,Boulder/Broomfield,181959000
2008,2,Denver,195965000
2008,2,Douglas,88128000
2008,2,El Paso,323709000
2008,2,Fremont,8924000
2008,2,Garfield,55206000
2008,2,Jefferson,257538000
2008,2,La Plata,28064000
2008,2,Larimer,145702000
2008,2,Mesa,93063000
2008,2,Pueblo,65405000
2008,2,Weld,157124000
2008,3,Adams,204716000
2008,3,Arapahoe,538296000
2008,3,Boulder/Broomfield,178686000
2008,3,Denver,189433000
2008,3,Douglas,89219000
2008,3,El Paso,299526000
2008,3,Fremont,8305000
2008,3,Garfield,53712000
2008,3,Jefferson,264152000
2008,3,La Plata,24572000
2008,3,Larimer,136008000
2008,3,Mesa,93417000
2008,3,Pueblo,70123000
2008,3,Weld,150376000
2008,4,Adams,162708000
2008,4,Arapahoe,419014000
2008,4,Boulder/Broomfield,139785000
2008,4,Denver,167851000
2008,4,Douglas,79520000
2008,4,El Paso,253344000
2008,4,Fremont,7421000
2008,4,Garfield,42038000
2008,4,Jefferson,202184000
2008,4,La Plata,18102000
2008,4,Larimer,105258000
2008,4,Mesa,67162000
2008,4,Pueblo,55708000
2008,4,Weld,109437000
2009,1,Adams,147150000
2009,1,Arapahoe,365064000
2009,1,Boulder,103053000
2009,1,Broomfield,22194000
2009,1,Denver,162119000
2009,1,Douglas,64458000
2009,1,El Paso,247017000
2009,1,Fremont,6274000
2009,1,Garfield,31249000
2009,1,Jefferson,181200000
2009,1,La Plata,16302000
2009,1,Larimer,95235000
2009,1,Mesa,64698000
2009,1,Pueblo,55351000
2009,1,Weld,95791000
2009,2,Adams,172276000
2009,2,Arapahoe,417140000
2009,2,Boulder,112752000
2009,2,Broomfield,28191000
2009,2,Denver,178819000
2009,2,Douglas,75080000
2009,2,El Paso,258889000
2009,2,Fremont,6770000
2009,2,Garfield,33571000
2009,2,Jefferson,196617000
2009,2,La Plata,17518000
2009,2,Larimer,100387000
2009,2,Mesa,63092000
2009,2,Pueblo,56701000
2009,2,Weld,109147000
2009,3,Adams,209599000
2009,3,Arapahoe,559316000
2009,3,Boulder,138918000
2009,3,Broomfield,31291000
2009,3,Denver,194231000
2009,3,Douglas,71260000
2009,3,El Paso,325340000
2009,3,Fremont,9879000
2009,3,Garfield,37634000
2009,3,Jefferson,227989000
2009,3,La Plata,19444000
2009,3,Larimer,138582000
2009,3,Mesa,69293000
